SENSOR NUM,SENSOR,PE CODE,DESCRIPTION,UNITS,ODM Variable term,ODM Unit abbre
1,RIV STG,HG,RIVER STAGE,FEET,Water Level,ft
2,RAIN,PC,"PRECIPITATION, ACCUMULATED",INCHES,Precipitation,in
3,SNOW WC,SW,"SNOW, WATER CONTENT",INCHES,Snow water equivalent,in
4,TEMP,TA,"TEMPERATURE, AIR",DEG F,Temperature,degF
5,EL CND,WC,ELECTRICAL CONDUCTIVTY MILLI S,mS/cm,Electrical conductivity,mS/cm
6,RES ELE,HL,RESERVOIR ELEVATION,FEET,,
7,REL SCH,QZ,"RESERVOIR, SCHEDULED RELEASE",CFS,,
8,FNF,QM,FULL NATURAL FLOW,CFS,Streamflow,cfs
9,WIND SP,US,"WIND, SPEED",MPH,Wind speed,mph
10,WIND DR,UD,"WIND, DIRECTION",DEG,Wind direction,deg
11,FUEL MS,MM,"FUEL MOISTURE, WOOD",%,,
12,REL HUM,XR,RELATIVE HUMIDITY,%,Relative humidity,%
13,FUEL TP,MT,"FUEL TEMP,WOOD PROBE",DEG F,,
14,BAT VOL,VB,BATTERY VOLTAGE,VOLTS,,
15,STORAGE,LS,RESERVOIR STORAGE,AF,,
16,RAINTIP,PU,"PRECIPITATION, TIPPING BUCKET",INCHES,,
17,BAR PRE,PA,ATMOSPHERIC PRESSURE,INCHES,Barometric pressure,in
18,SNOW DP,SD,SNOW DEPTH,INCHES,Snow depth,in
19,SNOW LV,SL,"SNOW, ELEVATION OF SNOW LINE",FEET,,
20,FLOW,QR,"FLOW, RIVER DISCHARGE",CFS,Discharge,cfs
21,VLOCITY,WV,"WATER, VELOCITY",FT/SEC,,
22,RES CHG,LC,"RESERVOIR, STORAGE CHANGE",AF,,
23,OUTFLOW,QT,RESERVOIR OUTFLOW,CFS,,
24,E T,ET,EVAPOTRANSPORATION,INCHES,Evapotranspiration,in
25,TEMP W,TW,"TEMPERATURE, WATER",DEG F,Temperature,degF
26,SOLAR R,RI,SOLAR RADIATION,W/M^2,"Radiation, total incoming",W/m^2
27,TURB W,WT,"WATER, TURBIDITY",NTU,Turbidity,NTU
28,CHLORPH,AA,CHLOROPHYLL,ug/L,Chlorophyll a,ug/L
29,NET RAD,RN,NET RADIATION,W/M^2,"Radiation, net",W/m^2
30,TEMP AV,TA,"TEMPERATURE, AIR AVERAGE",DEG F,Temperature,degF
31,TEMP MX,TX,"TEMPERATURE, AIR MAXIMUM",DEG F,Temperature,degF
32,TEMP MN,TN,"TEMPERATURE, AIR MINIMUM",DEG F,Temperature,degF
33,VAPR AV,PV,"VAPOR PRESSURE, AVERAGE",INCHES,Vapor pressure,in
34,VAPR MX,PV,"VAPOR PRESSURE, MAXIMUM",INCHES,Vapor pressure,in
35,VAPR MN,PV,"VAPOR PRESSURE, MINIMUM",INCHES,Vapor pressure,in
36,DEW PT,TD,"TEMPERATURE, DEW POINT",DEG F,"Temperature, dew point",degF
37,DEW DUR,AD,DEW DURATION,HOURS,,
38,SOIL AV,TS,"TEMPERATURE, SOIL AVERAGE",DEG F,Temperature,degF
39,SOIL MX,TS,"TEMPERATURE, SOIL MAXIMUM",DEG F,Temperature,degF
40,SOIL MN,TS,"TEMPERATURE, SOIL MINIMUM",DEG F,Temperature,degF
41,M FLOW,QR,"FLOW, MEAN DAILY",CFS,Streamflow,cfs
42,LAKE EL,HL,"ELEVATION, NATURAL LAKE",FEET,,
43,RES EL,HP,POOL ELEVATION,FEET,,
44,FREZ EL,HZ,FREEZING LEVEL ELEVATION,FEET,,
45,PPT INC,PP,"PRECIPITATION, INCREMENTAL",INCHES,Precipitation,in
46,FLOWVOL,QC,FLOW VOLUME,AF,,
47,ACCM WD,UC,"WIND, ACCUM WIND TRAVEL",MILES,,
48,DIS PWR,QG,"DISCHARGE, POWER GENERATION",CFS,,
49,DIR WTR,QO,FLOW DIRECTION,+ -,,
50,SNO INC,SP,"SNOW, ACT. INCREMENT",INCHES,,
51,SNOW DEN,SS,SNOW DENSITY,%,,
52,SOIL TP,TS,"TEMPERATURE, SNOW/SOIL SURFACE",DEG F,Temperature,degF
53,ICE STA,IS,"ICE FAIL STATUS, 1=FAIL 0=OK",.,,
54,ICE TRP,IX,ICE TIPS,TIPS,,
55,ENER TOT,VE,"GENERATION, ENERGY TOTAL",MWH,,
56,PUMP USE,VP,"GENERATION, PUMPING USE-POWER",MW,,
57,PUMP USE,VQ,"GENERATION, PUMPING USE-ENERGY",MWH,,
58,STA LOAD,VS,"GENERATION, STATION LOAD-ENERG",MWH,,
59,PWR TOT,VT,"GENERATION, POWER TOTAL",MW,,
60,STA LOAD,VW,"GENERATION, STATION LOAD-POWER",MW,,
61,DIS OXY,WO,"WATER, DISSOLVED OXYGEN",MG/L,,
62,PH VAL,WP,"WATER, PH VALUE",PH,,
63,DIS SOL,WL,"WATER, SUSPENDED SEDIMENT",MG/L,,
64,EVP PAN,EP,"EVAPORATION, PAN INCREMENT",INCHES,Evaporation,in
65,MON FNF,QF,"FLOW, FULL NATURAL",AF,,
66,MON FLO,QQ,"FLOW, MONTHLY VOLUME",AF,,
67,EST ACR,QV,"FLOW, ESTIMATED ACCRETIONS",AF,,
68,LK EVAP,EV,"EVAPORATION, LAKE COMPUTED AF",AF,Evaporation,in
69,DIVERSN,QD,"STORAGE, CANAL DIVERSION",AF,,
70,DC PUMP,QP,"DISCHARGE, PUMPING",CFS,Discharge,cfs
71,SPILL,QS,"DISCHARGE, SPILLWAY",CFS,Discharge,cfs
72,IRR&CNS,QW,"FLOW, IRRIG&CONSUMPTION",AF,,
73,AUX SNO,XS,"SNOW, AUXILIARY READING",INCHES,,
74,EVAP,EV,"EVAPORATION, LAKE COMPUTED CFS",CFS,Evaporation,in
75,SYN FLO,QL,"FLOW, SYNTHETIC",CFS,,
76,INFLOW,QI,RESERVOIR INFLOW,CFS,,
77,PEAK WS,UG,"WIND, PEAK GUST",MPH,Wind gust speed,mph
78,PEAK WD,UX,"WIND, DIRECTION OF PEAK GUST",DEG,Wind gust direction,deg
79,SNO QUA,SQ,SNOW DATA QUALITY FLAG,FLAG,,
80,PPT ADJ,PF,"PRECIPITATION, REVISED",INCHES,Precipitation,in
81,PPT INX,PX,PRECIPITATION INDEX,%,,
82,SNO ADJ,SM,"SNOW, WATER CONTENT(REVISED)",INCHES,,
83,SNX LOW,SX,"SNOW INDEX, LOW",%,,
84,SNX HI,SX,"SNOW INDEX, HIGH",%,,
85,RIV REL,QU,"DISCHARGE,CONTROL REGULATING",CFS,,
