"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro","Basin","Owner","Maintenance","Operator","Map","Collect","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"07K","19N2E07K2-4M HARRIS RD NR RICHVALE","93","39.511768","-121.787979","RICHVALE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,186,187,188,190,191,192"
"130","SAN JOAQUIN R - MONITORING WELL #130","130","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"13L","21N1E13L2-4M CHICO UNIV FARM","151","39.673446","-121.814422","CHICO","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,186,187,188,190,191,192"
"142","SAN JOAQUIN R - MONITORING WELL #142","100","37.1861","-120.6829","LOS BANOS","6","9001","999","999","50","24","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"225","MONITORING WELL MW-17-225","116","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"24C","20N2E24C1-3M NELSON RD NR ADOBE RD","150","39.581272","-121.70258","OROVILLE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,186,187,188,190,191,192"
"29P","TWENTYNINE PALMS","1975","34.127","-116.037","PALM SPRINGS","10","11801","999","999","40","48","0","SAN BERNARDINO","COLORADO R","National Weather Service","COLORADO RIVER","2"
"3LK","THREE LAKES","6264","39.97304","-121.2131","BUCKS LAKE","5","7301","999","999","62","0","0","PLUMAS","FEATHER R","Pacific Gas and Electric Company, Rogers Flat","SACRAMENTO RIVER","3,18,82"
"3RV","THREE RIVERS PH NO 1","1140","36.467","-118.867","VISALIA","7","9501","999","999","69","32","0","TULARE","KAWEAH R","Southern California Edison Company, Bishop","TULARE LAKE","2"
"49B","SJRRP MW-09-49B","171","36.7712","-120.2702","FIREBAUGH","6","9001","999","999","50","29","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"49M","49 MOUNTAIN","6000","41.525","-119.867",,"8","10201","999","999","54","999","0","MODOC","SURPRISE VALLEY","Natural Resources Conservation Service","NORTH LAHONTAN","3,18,82"
"5SI","SAN JOAQUIN 5-STATION PRECIP INDEX","0","37.74","-119.583",,"6","9001","999","722","722","24","0","none specified","SAN JOAQUIN R","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","SAN JOAQUIN RIVER","2,45"
"6SI","TULARE PRECIPITATION INDEX","0","36.288","-118.702","PORTERVILLE","7","9801","999","722","722","31","6","TULARE","TULARE LAKE","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","TULARE LAKE","2,45"
"7UP","SEVEN UP","7400","40.958","-122.883",,"1","901","999","999","999","8","0","TRINITY","TRINITY R",".None Specified","NORTH COAST","3,18,82"
"8SI","NORTHERN SIERRA 8-STATION PRECIP INDEX","0","39.9","-120.9",,"5","6501","999","722","722","14","0","PLUMAS","SACRAMENTO R","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","SACRAMENTO RIVER","2,45"
"A25","CHILI BAR POWERHOUSE","1000","38.771713","-120.813286","BIG CANYON","5","7701","999","999","60","0","20","EL DORADO","AMERICAN R","Pacific Gas & Electric","SACRAMENTO RIVER","48,272"
"ABA","ARROYO DEL HAMBRE","800","37.977","-122.178","MARTINEZ","2","2001","999","999","107","21","23","CONTRA COSTA","EAST BAY","Contra Costa County","SAN FRANCISCO BAY","16"
"ABJ","A&B CANAL NR JOHNSTONVILLE","4110","40.3639","-120.5333","JOHNSTONVILLE","8","10401","999","999","1","10","0","LASSEN","SUSAN R","CA Dept of Water Resources","NORTH LAHONTAN","1,14,20"
"ABN","LAKE AUDRAIN","7300","38.81983","-120.03932","MEYERS","5","7701","999","999","14","17","0","EL DORADO","AMERICAN R","Placerville Ranger District","SACRAMENTO RIVER","3,18,82"
"ABR","AUBERRY 2 NW","2090","37.083","-119.5","AUBERRY","6","9001","999","999","40","25","0","FRESNO","SAN JOAQUIN R","National Weather Service","SAN JOAQUIN RIVER","2"
"ABY","ABBEY","5650","39.955","-120.538","PORTOLA","5","7301","999","999","2","14","0","PLUMAS","FEATHER R","CA Dept of Water Resources/Beckwourth","SACRAMENTO RIVER","3,18,82"
