uid,domainID,siteID,namedLocation,startDate,laboratoryName,sampleID,deptName,receivedDate,analyte,primaryMatrix,method,analyteConcentration,analyteUnits,analyticalRepNumber,externalQualifier,extendedQualifier1,extendedQualifier2,extendedQualifier3,extendedQualifier4,extendedQualifier5,methodDetectionLimit,practicalQuantitationLimit,analyteSurrogate,analysisDate,analyzedBy,cas,dataQF
20981239-5c27-4f4f-bef6-d14431dca77e,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Fluoranthene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,206-44-0,legacyData
dc3aeaa2-e192-4a2c-81eb-f898f9eb0763,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Chrysene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,218-01-9,legacyData
d7e826c1-4714-45b9-885f-ef38b67516b0,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Fluorene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,86-73-7,legacyData
92891d75-194e-4cd0-b8bd-33314872b18b,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,"Dibenzo(A,H)Anthracene",SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,53-70-3,legacyData
53769b70-1747-47be-bdeb-33755a615680,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,"Indeno(1,2,3-Cd)Pyrene",SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,193-39-5,legacyData
10c20de4-c51f-448a-a5e6-353cba2aa381,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Benzo(K)Fluoranthene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,207-08-9,legacyData
877de16c-0e11-4404-a599-d83d72bc49fe,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Nitrobenzene-D5,SD,M8270C GC/MS,59.100,percent,1,,,,,,,35.000,100.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,4165-60-0,legacyData
8bef5a78-9149-4a3f-9b52-d7a7629ce0d8,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Naphthalene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,91-20-3,legacyData
d53f2ad4-9114-4bdd-b3c0-480c4e3adfce,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Anthracene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,120-12-7,legacyData
56d228d7-ef6c-4566-a043-a4ac13e19a2b,D11,BLUE,BLUE.AOS.sediment.01,2017-03-16T16:00Z,"ACZ Laboratories, Inc.",BLUE.1.20170316.O,GC/MS,2017-03-18T17:07Z,Benzo(B)Fluoranthene,SD,M8270C GC/MS,,microgramPerKilogram,1,U,,,,,,2000.000,8000.000,,2017-03-28T01:43Z,AY4SpIgI2Jo=,205-99-2,legacyData
