VariableCode,VariableName,SampleMedium,DataType,UnitsName,UnitsID,TimeUnitsName,TimeUnitsID,TimeSupport
BATN_D,Battery voltage,Not Relevant,Minimum,volts,168,day,104,1
BATT_D,Battery voltage,Not Relevant,Continuous,volts,168,day,104,1
BATT_H,Battery voltage,Not Relevant,Continuous,volts,168,hour,103,1
BATX_D,Battery voltage,Not Relevant,Maximum,volts,168,day,104,1
DIAG_D,x,x,x,x,x,x,x,x
DIAG_H,x,x,x,x,x,x,x,x
DPTP_H,Dew point temperature,Air,Continuous,degree fahrenheit,97,hour,103,1
LRADT_D,"Radiation, total incoming",Air,Continuous,langleys per day,28,day,104,1
LRADT_m,"Radiation, total incoming",Air,Continuous,langleys per day,28,month,106,1
LRADT_sm,"Radiation, total incoming",Air,Continuous,langleys per day,28,day,106,0.5
NTRDV_H,"Radiation, net",Air,Continuous,watts per square meter,33,hour,103,1
PARV_D,"Radiation, incoming PAR",Air,Continuous,micromoles per square meter per second,143,day,104,1
PARV_H,"Radiation, incoming PAR",Air,Continuous,micromoles per square meter per second,143,hour,103,1
PARV_m,"Radiation, incoming PAR",Air,Continuous,micromoles per square meter per second,143,month,106,1
PARV_sm,"Radiation, incoming PAR",Air,Continuous,micromoles per square meter per second,143,day,106,0.5
PRCP_D,Precipitation,Precipitation,Incremental,international inch,49,day,104,1
PRCP_H,Precipitation,Precipitation,Incremental,international inch,49,hour,103,1
PRCP_m,Precipitation,Precipitation,Incremental,international inch,49,month,106,1
PRCP_sm,Precipitation,Precipitation,Incremental,international inch,49,day,106,0.5
PRCP_wy,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCP_y,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCPSA_D,Precipitation,Precipitation,Incremental,international inch,49,day,104,1
PRCPSA_m,Precipitation,Precipitation,Incremental,international inch,49,month,106,1
PRCPSA_sm,Precipitation,Precipitation,Incremental,international inch,49,day,106,0.5
PRCPSA_wy,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCPSA_y,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PREC_D,Precipitation,Precipitation,Cumulative,international inch,49,day,104,1
PREC_H,Precipitation,Precipitation,Cumulative,international inch,49,hour,103,1
PREC_m,Precipitation,Precipitation,Cumulative,international inch,49,month,106,1
PREC_sm,Precipitation,Precipitation,Cumulative,international inch,49,day,106,0.5
PREC_wy,Precipitation,Precipitation,Cumulative,international inch,49,common year (365 days),107,1
PRES_D,Barometricpressure,Air,Continuous,inch of mercury,84,day,104,1
PRES_H,Barometric pressure,Air,Continuous,inch of mercury,84,hour,103,1
PVPV_H,Vapor pressure,Air,Continuous,kilopascal,170,hour,103,1
RDC_D_D10,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D12,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D15,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D16,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D18,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D2,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D20,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D24,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D27,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D30,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D4,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D40,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D6,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D60,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D8,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D80,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_H26,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_H33,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_H35,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_H51,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_H_D10,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D12,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D15,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D16,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D18,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D2,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D20,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D24,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D27,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D30,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D4,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D40,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D6,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D60,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D8,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_D80,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_H26,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_H33,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_H35,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RDC_H_H51,Real dielectric constant,Not Relevant,Continuous,dimensionless,137,hour,103,1
RHENC_D,Relative humidity,Air,Continuous,percent,1,day,104,1
RHENC_m,Relative humidity,Air,Continuous,percent,1,month,106,1
RHENC_sm,Relative humidity,Air,Continuous,percent,1,month,106,0.5
RHUM_D,Relative humidity,Air,Continuous,percent,1,day,104,1
RHUM_H,Relative humidity,Air,Continuous,percent,1,hour,103,1
RHUMN_D,Relative humidity,Air,Minimum,percent,1,day,104,1
RHUMN_H,Relative humidity,Air,Minimum,percent,1,hour,103,1
