VariableCode,VariableName,SampleMedium,DataType,UnitsName,UnitsID,TimeUnitsName,TimeUnitsID,TimeSupport
BATN_D,Battery voltage,Not Relevant,Minimum,volts,168,day,104,1
BATT_D,Battery voltage,Not Relevant,Continuous,volts,168,day,104,1
BATT_H,Battery voltage,Not Relevant,Continuous,volts,168,hour,103,1
BATX_D,Battery voltage,Not Relevant,Maximum,volts,168,day,104,1
BATX_H,Battery voltage,Not Relevant,Maximum,volts,168,hour,104,1
DIAG_D,x,,,,,,,
DPTP_H,"Temperature, dew point",Air,Continuous,degree fahrenheit,97,hour,103,1
LRADT_D,"Radiation, total incoming",Air,Continuous,langleys per day,28,day,104,1
LRADT_m,"Radiation, total incoming",Air,Continuous,langleys per day,28,month,106,1
LRADT_sm,"Radiation, total incoming",Air,Continuous,langleys per day,28,day,106,0.5
NTRDV_H,"Radiation, net",Air,Continuous,watts per square meter,33,hour,103,1
PRCP_D,Precipitation,Precipitation,Incremental,international inch,49,day,104,1
PRCP_H,Precipitation,Precipitation,Incremental,international inch,49,hour,103,1
PRCP_m,Precipitation,Precipitation,Incremental,international inch,49,month,106,1
PRCP_sm,Precipitation,Precipitation,Incremental,international inch,49,day,106,0.5
PRCP_wy,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCP_y,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCPSA_D,Precipitation,Precipitation,Incremental,international inch,49,day,104,1
PRCPSA_m,Precipitation,Precipitation,Incremental,international inch,49,month,106,1
PRCPSA_sm,Precipitation,Precipitation,Incremental,international inch,49,day,106,0.5
PRCPSA_wy,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PRCPSA_y,Precipitation,Precipitation,Incremental,international inch,49,common year (365 days),107,1
PREC_D,Precipitation,Precipitation,Cumulative,international inch,49,day,104,1
PREC_H,Precipitation,Precipitation,Cumulative,international inch,49,hour,103,1
PREC_m,Precipitation,Precipitation,Cumulative,international inch,49,month,106,1
PREC_sm,Precipitation,Precipitation,Cumulative,international inch,49,day,106,0.5
PREC_wy,Precipitation,Precipitation,Cumulative,international inch,49,common year (365 days),107,1
PRES_D,Barometric pressure,Air,Continuous,inch of mercury,84,day,104,1
PRES_H,Barometric pressure,Air,Continuous,inch of mercury,84,hour,103,1
PVPV_H,Vapor pressure,Air,Continuous,kilopascal,170,hour,103,1
RDC_D,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D11in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D12in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D14in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D16in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D18in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D20in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D24in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D2in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D32in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D37in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D39in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D3in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D40in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D4in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_D_D8in,Real dielectric constant,Soil,Continuous,dimensionless,137,day,104,1
RDC_H,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D11in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D12in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D14in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D16in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D18in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D20in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D24in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D2in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D32in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D37in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D39in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D3in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D40in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D4in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RDC_H_D8in,Real dielectric constant,Soil,Continuous,dimensionless,137,hour,103,1
RHENC_D,Relative humidity,Air,Continuous,percent,1,day,104,1
RHENC_m,Relative humidity,Air,Continuous,percent,1,month,106,1
RHENC_sm,Relative humidity,Air,Continuous,percent,1,month,106,0.5
RHUM_D,Relative humidity,Air,Continuous,percent,1,day,104,1
RHUM_H,Relative humidity,Air,Continuous,percent,1,hour,103,1
RHUMN_D,Relative humidity,Air,Minimum,percent,1,day,104,1
RHUMN_H,Relative humidity,Air,Minimum,percent,1,hour,103,1
RHUMN_m,Relative humidity,Air,Minimum,percent,1,month,106,1
RHUMN_sm,Relative humidity,Air,Minimum,percent,1,month,106,0.5
RHUMV_D,Relative humidity,Air,Average,percent,1,day,104,1
RHUMV_H,Relative humidity,Air,Average,percent,1,hour,103,1
RHUMV_m,Relative humidity,Air,Average,percent,1,month,106,1
RHUMV_sm,Relative humidity,Air,Average,percent,1,month,106,0.5
RHUMX_D,Relative humidity,Air,Maximum,percent,1,day,104,1
RHUMX_H,Relative humidity,Air,Maximum,percent,1,hour,103,1
RHUMX_m,Relative humidity,Air,Maximum,percent,1,month,106,1
RHUMX_sm,Relative humidity,Air,Maximum,percent,1,month,106,0.5
SAL_D,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
SAL_D_D11in,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
SAL_D_D12in,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
SAL_D_D14in,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
SAL_D_D16in,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
SAL_D_D18in,Salinity,Soil water,Continuous,grams per liter,202,day,104,1
