 n-Butyl benzyl phthalate, ug/L, Measurement of n-Butyl benzyl phthalate. ,
 Di(2-ethylhexyl)adipate, ug/L, Measurement of Di(2-ethylhexyl)adipate. ,
 Bis(2-chloroisopropyl) ether, ug/L, Measurement of Bis(2-chloroisopropyl) ether. ,
 Bis(2-chloroethoxy) methane, ug/L, Measurement of Bis(2-chloroethoxy) methane. ,
 Benzidine, ug/L, Measurement of Benzidine. ,
 p-Cresol, ug/L, Measurement of p-Cresol. ,
 4-Chlorophenyl phenyl ether, ug/L, Measurement of 4-Chlorophenyl phenyl ether. ,
 p-Chloroaniline, ug/L, Measurement of p-Chloroaniline. ,
 4-Bromophenyl phenyl ether, ug/L, Measurement of 4-Bromophenyl phenyl ether. ,
 o-Cresol, ug/L, Measurement of o-Cresol. ,
 Vernam, ug/L, Measurement of Vernam. ,
 Tricyclazole, ug/L, Measurement of Tricyclazole. ,
 Bayleton, ug/L, Measurement of Bayleton. ,
 Thiobencarb, ug/L, Measurement of Thiobencarb. ,
 Terbutryn, ug/L, Measurement of Terbutryn. ,
 Terbuthylazine, ug/L, Measurement of Terbuthylazine. ,
 Terbacil, ug/L, Measurement of Terbacil. ,
 Tebuthiuron, ug/L, Measurement of Tebuthiuron. ,
 Simetryn, ug/L, Measurement of Simetryn. ,
 Simazine, ug/L, Measurement of Simazine. ,
 Propazine, ug/L, Measurement of Propazine. ,
 Prometryn, ug/L, Measurement of Prometryn. ,
 Prometon, ug/L, Measurement of Prometon. ,
 Pebulate, ug/L, Measurement of Pebulate. ,
 Norflurazon, ug/L, Measurement of Norflurazon. ,
 Napropamide, ug/L, Measurement of Napropamide. ,
 Molinate, ug/L, Measurement of Molinate. ,
 MGK 264, ug/L, Measurement of MGK 264. ,
 Metolachlor, ug/L, Measurement of Metolachlor. ,
 Methyl paraoxon, ug/L, Measurement of Methyl paraoxon. ,
 Merphos, ug/L, Measurement of Merphos. ,
 Hexazinone, ug/L, Measurement of Hexazinone. ,
 Glyphosate, ug/L, Measurement of Glyphosate. ,
 Fluridone, ug/L, Measurement of Fluridone. ,
 Fenarimol, ug/L, Measurement of Fenarimol. ,
 Fenamiphos, ug/L, Measurement of Fenamiphos. ,
 Ethoprophos, ug/L, Measurement of Ethoprophos. ,
 S-Ethyl dipropylthiocarbamate, ug/L, Measurement of S-Ethyl dipropylthiocarbamate. ,
 Diphenamid(e), ug/L, Measurement of Diphenamid(e). ,
 Dimethoate, ug/L, Measurement of Dimethoate. ,
 Dichlorvos, ug/L, Measurement of Dichlorvos. ,
 Diazinon, ug/L, Measurement of Diazinon. ,
 Demeton-S, ug/L, Measurement of Demeton-S. ,
 Merphos oxide, ug/L, Measurement of Merphos oxide. ,
 Cycloate, ug/L, Measurement of Cycloate. ,
 Cyanazine, ug/L, Measurement of Cyanazine. ,
 Coumaphos, ug/L, Measurement of Coumaphos. ,
 Chlorpropham, ug/L, Measurement of Chlorpropham. ,
 Carboxin, ug/L, Measurement of Carboxin. ,
 Trithion, ug/L, Measurement of Trithion. ,
 Butylate, ug/L, Measurement of Butylate. ,
 Butachlor, ug/L, Measurement of Butachlor. ,
 Bromacil, ug/L, Measurement of Bromacil. ,
 Sulprofos, ug/L, Measurement of Sulprofos. ,
 Atrazine, ug/L, Measurement of Atrazine. ,
 Atraton, ug/L, Measurement of Atraton. ,
 Ametryn, ug/L, Measurement of Ametryn. ,
 Alachlor, ug/L, Measurement of Alachlor. ,
 Zinc, ug/L, Measurement of Zinc. ,
 Thallium, ug/L, Measurement of Thallium. ,
 Sodium, ug/L, Measurement of Sodium. ,
 Silver, ug/L, Measurement of Silver. ,
 Selenium, ug/L, Measurement of Selenium. ,
 Nickel, ug/L, Measurement of Nickel. ,
 Molybdenum, ug/L, Measurement of Molybdenum. ,
 Mercury, ug/L, Measurement of Mercury. ,
 Manganese, ug/L, Measurement of Manganese. ,
 Lead, ug/L, Measurement of Lead. ,
 Iron, ug/L, Measurement of Iron. ,
 Copper, ug/L, Measurement of Copper. ,
 Chromium, ug/L, Measurement of Chromium. ,
 Cadmium, ug/L, Measurement of Cadmium. ,
 Boron, ug/L, Measurement of Boron. ,
 Beryllium, ug/L, Measurement of Beryllium. ,
 Barium, ug/L, Measurement of Barium. ,
 Arsenic, ug/L, Measurement of Arsenic. ,
 Antimony, ug/L, Measurement of Antimony. ,
 Aluminum, ug/L, Measurement of Aluminum. ,
 Total suspended solids (TSS), ug/L, Measurement of Total suspended solids (TSS).,
 Total dissolved solids (TDS), ug/L, Measurement of Total dissolved solids (TDS).,
 Sulfate, ug/L, Measurement of Sulfate. ,
 pH, units, Measurement of pH.,
 Nitrate+nitrite (as N), ug/L, Measurement of Nitrate+nitrite (as N). ,
 Hardness (as CaCO3), ug/L, Measurement of Hardness (as CaCO3).,
 Radioactivity (gross alpha), pCi/L, Measurement of Radioactivity (gross alpha).,
 Chlorine (Residual), ug/L, Measurement of Chlorine (Residual). ,
 Chemical oxygen demand (COD), ug/L, Measurement of Chemical oxygen demand (COD).,
 Ammonia (as N), ug/L, Measurement of Ammonia (as N). ,
 Alkalinity, ug/L, Measurement of Alkalinity.,
 Oxamyl, ug/L, Measurement of Oxamyl. ,
 Methomyl, ug/L, Measurement of Methomyl. ,
 Methiocarb, ug/L, Measurement of Methiocarb. ,
 Diuron, ug/L, Measurement of Diuron. ,
 Captan, ug/L, Measurement of Captan. ,
 Baygon, ug/L, Measurement of Baygon. ,
 Aldicarb sulfoxide, ug/L, Measurement of Aldicarb sulfoxide. ,
 Aldicarb sulfone, ug/L, Measurement of Aldicarb sulfone. ,
 Aldicarb, ug/L, Measurement of Aldicarb. ,
 3-Hydroxycarbofuran, ug/L, Measurement of 3-Hydroxycarbofuran. ,
 Nonachlor (Trans Isomer), ug/L, Measurement of Nonachlor (Trans Isomer). ,
 Toxaphene, ug/L, Measurement of Toxaphene. ,
 Propachlor, ug/L, Measurement of Propachlor. ,
 Nitrofen, ug/L, Measurement of Nitrofen. ,
 Heptachlor epoxide (Trans Isomer), ug/L, Measurement of Heptachlor epoxide (Trans Isomer). ,
 Heptachlor epoxide (Cis Isomer), ug/L, Measurement of Heptachlor epoxide (Cis Isomer). ,
 alpha-BHC, ug/L, Measurement of alpha-BHC. ,
 gamma-BHC (Lindane), ug/L, Measurement of gamma-BHC (Lindane). ,
 beta-Endosulfan, ug/L, Measurement of beta-Endosulfan. ,
 alpha-Endosulfan, ug/L, Measurement of alpha-Endosulfan. ,
 Dicofol, ug/L, Measurement of Dicofol. ,
 Dacthal (DCPA), ug/L, Measurement of Dacthal (DCPA). ,
 Chlorothalonil, ug/L, Measurement of Chlorothalonil. ,
" Ethyl-4,4'-dichlorobenzilate", ug/L," Measurement of  Ethyl-4,4'-dichlorobenzilate",
 Chloroneb, ug/L, Measurement of Chloroneb. ,
 gamma-Chlordane, ug/L, Measurement of gamma-Chlordane. ,
 alpha-Chlordane, ug/L, Measurement of alpha-Chlordane. ,
 Chlordane, ug/L, Measurement of Chlordane. ,
 Benefin, ug/L, Measurement of Benefin. ,
 Aroclor 1260, ug/L, Measurement of Aroclor 1260. ,
 Aroclor 1254, ug/L, Measurement of Aroclor 1254. ,
 Aroclor 1248, ug/L, Measurement of Aroclor 1248. ,
 Aroclor 1242, ug/L, Measurement of Aroclor 1242. ,
 Aroclor 1232, ug/L, Measurement of Aroclor 1232. ,
 Aroclor 1221, ug/L, Measurement of Aroclor 1221. ,
 Aroclor 1016, ug/L, Measurement of Aroclor 1016. ,
 Acetochlor, ug/L, Measurement of Acetochlor. ,
"4,4'-DDT", ug/L," Measurement of 4,4'-DDT",
"4,4'-DDE", ug/L," Measurement of 4,4'-DDE",
"2,4'-DDT", ug/L," Measurement of 2,4'-DDT",
"2,4'-DDE", ug/L," Measurement of 2,4'-DDE",
 MCPP, ug/L, Measurement of MCPP. ,
 MCPA, ug/L, Measurement of MCPA. ,
 DMPA, ug/L, Measurement of DMPA. ,
 Dichlorprop, ug/L, Measurement of Dichlorprop. ,
 DCPA (mono- and di-acid metabolites), ug/L, Measurement of DCPA (mono- and di-acid metabolites).,
